"id","category","question","answer","difficulty","tags"
"21","STA Timing Analysis for Power","How does cell sizing affect both timing and power?","Larger cells drive more capacitance faster (higher drive strength → less delay) but consume more dynamic and leakage power. Smaller cells have less leakage and switching power but are slower. STA guides cell sizing: upsizing is used to fix timing violations on critical paths; downsizing is used on non-critical paths to save power without violating timing.","Intermediate","cell sizing, drive strength, power, timing"
"22","STA Timing Analysis for Power","What is the role of the timing report in power analysis?","Timing reports from STA identify: (1) critical paths that cannot be touched for power reduction; (2) high-slack paths that are candidates for leakage optimization (Vt swap or cell downsizing); (3) path delay distribution which guides clock frequency and voltage-frequency operating point decisions in DVFS designs.","Intermediate","timing report, power analysis, slack"
"23","Clock Power","What fraction of total chip power does the clock network typically consume?","The clock network (clock tree + clock registers) typically accounts for 20–40% of total dynamic power in a high-performance VLSI chip due to the high switching activity (toggles every cycle) and large capacitance of the global clock distribution network.","Intermediate","clock power, clock tree, dynamic power"
"24","Clock Power","What is clock tree synthesis (CTS) and how does it affect power?","CTS builds a balanced tree of buffers/inverters to distribute the clock signal from the root to all sequential elements with minimal skew and latency. Power is minimized during CTS by: (1) using smaller clock buffers where possible; (2) shielding clock wires to reduce coupling capacitance; (3) integrating clock gating cells into the tree.","Intermediate","CTS, clock tree, power"
"25","Clock Power","What is clock skew and how does it affect setup and hold timing?","Clock skew is the difference in arrival time of the clock at different flip-flops. Positive skew (launch clock arrives before capture clock) relaxes setup time but tightens hold time. Negative skew tightens setup time. In STA skew is modeled as clock uncertainty and must be within bounds to prevent timing violations.","Intermediate","clock skew, setup, hold, STA"
"26","Clock Power","What is useful clock skew and its benefit for power?","Useful (intentional) clock skew deliberately delays the clock to some flip-flops to relax timing on long paths allowing more cells on those paths to be swapped to high-Vt (lower leakage). STA must verify that the intentional skew does not introduce hold violations elsewhere.","Advanced","useful skew, leakage, power optimization"
"27","Clock Power","What is a multi-cycle path (MCP) exception in STA and its power impact?","A multi-cycle path (MCP) is a timing exception that tells STA a certain data path is allowed more than one clock cycle to propagate. This relaxes the timing constraint on that path enabling slower (HVt or downsized) cells to be used saving leakage power while correctly modeling the design intent.","Intermediate","multi-cycle path, STA exception, leakage"
"28","Power Domains","What is a power domain in low-power VLSI design?","A power domain is a region of the chip that can be independently power-managed (switched on/off or voltage-scaled). Cells within a domain share the same supply voltage. Multiple power domains enable fine-grained power management: idle blocks can be powered down while active blocks remain on.","Intermediate","power domain, low power, UPF"
"29","Power Domains","What is UPF (Unified Power Format) and its role in STA?","UPF is an industry-standard (IEEE 1801) format for specifying power intent: power domains, supply networks, isolation strategies, retention strategies and operating modes. EDA tools use UPF to correctly model power-aware behavior during synthesis, STA and simulation ensuring timing and power analysis reflect the intended power management.","Advanced","UPF, power intent, STA, IEEE 1801"
"30","Power Domains","What is level shifting and why is it required in STA?","Level shifters are cells used at the boundary between power domains operating at different supply voltages to translate logic levels. In STA level shifters are modeled as regular cells with their own timing arcs. The input voltage domain drives them and the output is in the destination domain voltage. Omitting level shifter timing from STA can cause incorrect timing analysis.","Advanced","level shifting, power domains, STA"
"31","Leakage Power","What is subthreshold leakage and how does it depend on threshold voltage (Vt)?","Subthreshold leakage (I_sub) is current that flows through the transistor channel even when V_GS < Vt (device is nominally off). It is exponentially dependent on Vt: I_sub ∝ exp(–Vt / n·V_T), where n is the ideality factor and V_T is the thermal voltage (~26 mV at room temperature). Increasing Vt by ~100 mV can reduce leakage by ~10×. This is why high-Vt cells dramatically reduce static power.","Advanced","subthreshold leakage, threshold voltage, leakage power"
"32","Leakage Power","What is gate oxide leakage and how is it managed?","Gate oxide leakage (tunneling current) flows through the ultra-thin gate oxide in advanced nodes (< 45 nm). It is reduced by using: (1) high-k dielectric materials (replacing SiO2 with HfO2 etc.); (2) thick-oxide cells for leakage-critical circuits (I/O pads, power management). STA libraries include separate leakage power tables for each cell.","Advanced","gate oxide leakage, high-k, leakage"
"33","Leakage Power","How does temperature affect leakage power?","Leakage power increases strongly with temperature because carrier mobility and subthreshold slope are temperature-dependent. At elevated temperature (e.g. 125°C) leakage can be 5–10× higher than at room temperature (25°C). STA leakage analysis must be performed at worst-case (high) temperature using the appropriate library corner.","Intermediate","leakage, temperature, PVT, STA"
"34","Leakage Power","What is the leakage power model in Liberty (.lib) files?","Liberty files characterize each cell at a specific PVT corner and include a leakage_power table that lists leakage current for each input state (since leakage depends on the states of all inputs). Power analysis tools sum the state-dependent leakage of all cells weighted by the probability of each state being active.","Intermediate","Liberty, .lib, leakage model, power analysis"
"35","Leakage Power","How does input vector control reduce leakage during standby?","In standby mode applying specific input vectors that put transistors in stacked-off states forces the circuit into its lowest-leakage state and can reduce total leakage significantly. This is often combined with power gating and is part of the test and power management strategy.","Advanced","input vector, leakage, standby, power gating"
"36","Physical Design and Power","What is IR drop and how does it affect STA?","IR drop is the voltage drop along power/ground supply wires due to resistance (V = I × R). It reduces the effective supply voltage reaching cells causing them to be slower. In STA IR drop is incorporated as voltage derating: cells with lower effective V_DD have increased delays which can cause setup violations. Static and dynamic IR drop analyses feed back into STA.","Advanced","IR drop, supply voltage, STA, power grid"
"37","Physical Design and Power","What is electromigration (EM) and its relation to power in STA?","Electromigration is the gradual displacement of metal atoms in wires due to high current density causing wire failure over time. For power analysis high-current wires (especially in the power grid and clock network) must be checked against EM limits. EM failures affect reliability and long-term functionality but are not directly part of timing STA.","Advanced","electromigration, current density, reliability"
"38","Physical Design and Power","How does wire length affect both timing and power?","Longer wires have higher resistance and capacitance (RC). In STA longer wires increase propagation delay. For power longer wires increase dynamic power (P ∝ C × V² × f) and also increase clock tree power. Placement optimization minimizes wire length to improve timing and reduce power simultaneously.","Intermediate","wire length, RC, timing, dynamic power"
"39","Low Power Design Methodologies","What is the difference between RTL power optimization and gate-level power optimization?","RTL power optimization modifies the register-transfer level description (e.g. adding clock enable signals, operand isolation, reducing bus width) before synthesis impacting the architecture. Gate-level power optimization (after synthesis) focuses on cell-level techniques (Vt swapping, cell sizing, clock gating insertion) guided by STA timing constraints. RTL optimization typically has higher impact.","Intermediate","RTL, gate level, power optimization"
"40","Low Power Design Methodologies","What is power-aware synthesis?","Power-aware synthesis is the process of translating RTL to a gate-level netlist while simultaneously optimizing for power in addition to area and timing. The synthesis tool uses: (1) clock gating inference from RTL enable conditions; (2) multi-Vt cell libraries; (3) switching activity information (from simulation or estimation) to target dynamic power reduction.","Intermediate","power-aware synthesis, clock gating, multi-Vt"
"41","Low Power Design Methodologies","What is activity-driven power analysis and how is switching activity captured?","Switching activity (toggle rate) for each net in the design is captured by: (1) RTL or gate-level simulation with representative input vectors producing a VCD (Value Change Dump) or SAIF (Switching Activity Interchange Format) file; (2) probabilistic estimation by synthesis or place-and-route tools. This activity data is back-annotated into power analysis tools (e.g. PrimeTime PX) along with STA timing data to compute accurate dynamic power.","Intermediate","switching activity, VCD, SAIF, dynamic power, PrimeTime"
"42","Low Power Design Methodologies","What is Synopsys PrimeTime PX and how is it used for power analysis?","PrimeTime PX is a signoff-quality power analysis tool from Synopsys. It takes: (1) the post-layout netlist; (2) STA timing results (parasitics SPEF); (3) switching activity (VCD/SAIF); (4) Liberty power models. It computes cell internal power, net switching power, leakage power and clock network power providing a detailed breakdown used to identify and reduce power hotspots.","Advanced","PrimeTime PX, signoff, power analysis, Synopsys"
"43","Low Power Design Methodologies","What is power intent and why must it be consistent with STA?","Power intent (specified in UPF or CPF) defines operating modes, voltage levels, power domain boundaries and power switching sequences. STA must be run for each operating mode using libraries and supply voltages consistent with the power intent. Inconsistency between power intent and STA setup (e.g. wrong operating voltage) leads to incorrect timing sign-off.","Advanced","power intent, UPF, CPF, STA consistency"
"44","Low Power Design Methodologies","What is Common Power Format (CPF) vs UPF?","CPF (Cadence Common Power Format) and UPF (Unified Power Format / IEEE 1801) are both formats for specifying power intent. UPF is the IEEE standard and is now more widely adopted. Both describe power domains, supply sets, isolation, retention and operating modes. Modern EDA tools support UPF; CPF is primarily used in older Cadence flows.","Intermediate","CPF, UPF, power format, power intent"
"45","Low Power Design Methodologies","What is a body bias technique and how does it save power?","Body biasing applies a voltage to the bulk/body of the transistor to modulate its threshold voltage. Forward body bias (FBB) lowers Vt improving speed; reverse body bias (RBB) raises Vt reducing leakage. In standby mode RBB is applied to idle blocks to dramatically cut leakage. STA libraries must be characterized at each body bias level.","Advanced","body bias, RBB, FBB, threshold voltage, leakage"
"46","Metrics and Verification","What is the unit used to measure leakage power in VLSI designs?","Leakage power is typically measured in nanowatts (nW) or microwatts (µW) for individual cells and in milliwatts (mW) or watts (W) for full chips. Liberty files report per-cell leakage in picowatts (pW) or nanowatts at characterization temperature and voltage.","Beginner","units, leakage power, measurement"
"47","Metrics and Verification","What is a power budget and how is it enforced in VLSI design?","A power budget is the maximum allowable power consumption for a design or sub-block determined by thermal limits, battery life targets or package constraints. It is enforced by: (1) setting power constraints in synthesis; (2) monitoring power reports at each design stage (RTL, synthesis, place-and-route, signoff); (3) iterating on optimizations until the budget is met.","Intermediate","power budget, thermal, constraints"
"48","Metrics and Verification","What is the difference between average power and peak power?","Average power is the mean power dissipated over a time period considering the probability of activity. Peak power is the maximum instantaneous power which occurs when many nodes switch simultaneously. Peak power is critical for: (1) power grid IR drop; (2) package thermal limits; (3) power supply decoupling capacitor design. STA-based analysis focuses on average leakage while dynamic simulation identifies peak power.","Intermediate","average power, peak power, IR drop, thermal"
"49","Metrics and Verification","How is power verified at signoff in a VLSI STA flow?","At signoff power verification involves: (1) PnR tool extracts parasitic capacitances (SPEF); (2) Gate-level simulation with representative vectors generates VCD/SAIF; (3) STA tool (e.g. PrimeTime) performs timing signoff; (4) Power analysis tool (e.g. PrimeTime PX) back-annotates activity and parasitics to compute final power report; (5) Power is checked against budget; (6) Voltage drop (IR) and EM checks are run on the power grid.","Advanced","signoff, power verification, SPEF, PrimeTime"
"50","Metrics and Verification","What are common EDA tools used for STA and power analysis in the industry?","Common EDA tools include: (1) Synopsys PrimeTime – industry-standard STA and power signoff; (2) Cadence Tempus – STA and power analysis; (3) Mentor Calibre – DRC/LVS; (4) Synopsys Design Compiler / Cadence Genus – power-aware synthesis; (5) Synopsys IC Compiler 2 / Cadence Innovus – place-and-route with power optimization; (6) Apache/Ansys RedHawk – power integrity and IR drop analysis.","Intermediate","EDA tools, PrimeTime, Tempus, synthesis, PnR"
